elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
0,GNSS_AIDED,8.515,282,3.730455,0.0,0.0,8.838924803334113,0.28423448866304185,true,11.153895036954458,0.7097013592720032
101,GNSS_AIDED,8.515,282,3.730455,0.0,0.0,12.633743442444619,1.2770071106738647,true,20.127668689517918,2.088392972946167
202,GNSS_AIDED,8.515,491,3.730455,0.0,0.0,15.85115494779635,0.7318702509555465,true,22.33593581952512,2.0006606578826904
299,GNSS_AIDED,8.515,491,3.730455,0.0,0.0,7.62034849585667,1.3708955134437955,true,8.37799740269443,1.9718279838562012
398,GNSS_AIDED,8.515,691,3.730455,0.0,0.0,10.545519128280628,0.8148064526929903,true,17.595393263680926,2.334404468536377
499,GNSS_AIDED,8.515,691,3.730455,0.0,0.0,22.891469056136422,0.5588509824272356,true,33.96621555442245,0.707438588142395
597,GNSS_AIDED,8.515,892,3.730455,0.0,0.0,12.76546597107722,0.8707298329920427,true,7.430913549950608,1.4100873470306396
698,GNSS_AIDED,8.515,892,3.730455,0.0,0.0,9.088454396839277,1.0932534405637409,true,7.466167598541453,1.3153252601623535
797,GNSS_AIDED,8.34,110,3.6055267,0.0,0.0,3.890394871922961,1.0769381340431243,true,6.243793795616023,1.1109049320220947
898,GNSS_AIDED,8.34,110,3.6055267,0.0,0.0,11.533857412080279,0.30738124623959573,true,21.87811292024913,0.5924027562141418
998,GNSS_AIDED,8.34,311,3.6055267,0.0,0.0,12.50669220037607,1.5850773068957633,true,18.95114021923499,2.7308130264282227
1098,GNSS_AIDED,8.34,311,3.6055267,0.0,0.0,10.013336935708836,2.370409959887837,true,22.41686607332769,2.996328115463257
1198,GNSS_AIDED,8.34,527,3.6055267,0.0,0.0,7.868104113113253,0.3210162671945396,true,7.99524006610389,2.4006869792938232
1299,GNSS_AIDED,8.34,527,3.6055267,0.0,0.0,1.8250278436846705,1.1137417615119005,true,3.1931016273379957,1.8049370050430298
1398,GNSS_AIDED,8.34,738,3.6055267,0.0,0.0,8.803605509733082,0.7182388583174617,true,14.525600943673094,2.130093812942505
1517,GNSS_AIDED,8.34,738,3.6055267,0.0,0.0,11.172590148194944,1.0867007839940062,true,19.973685582006667,2.4745259284973145
1694,GNSS_AIDED,8.34,738,3.6055267,0.0,0.0,9.225796260595416,0.7131485357579953,true,9.455729156879357,0.42737820744514465
1701,GNSS_AIDED,8.34,1039,3.6055267,0.0,0.0,2.918971893573292,0.5515433785621509,true,4.358856117626454,0.42737820744514465
1799,GNSS_AIDED,8.34,1039,3.6055267,0.0,0.0,10.105513854265357,0.610427410046598,true,16.007954166575367,0.7236164808273315
1900,GNSS_AIDED,7.768,202,3.5112975,0.0,0.0,11.803626745122454,0.2829918757195325,true,13.695408916810466,0.4920661747455597
2005,GNSS_AIDED,7.768,202,3.5112975,0.0,0.0,12.023345748875798,1.8853726205416592,true,12.957791940859105,3.375359296798706
2113,GNSS_AIDED,7.768,402,3.5112975,0.0,0.0,10.703095102632613,0.7296024541989938,true,22.25654359179105,2.7795212268829346
2206,GNSS_AIDED,7.768,402,3.5112975,0.0,0.0,25.712367074578577,0.9669564417573362,true,38.204729477200004,1.3368699550628662
2314,GNSS_AIDED,7.768,603,3.5112975,0.0,0.0,20.657482645683793,2.234357022763181,true,17.61435755146853,4.548733711242676
2405,GNSS_AIDED,7.768,603,3.5112975,0.0,0.0,8.256407355252993,1.1918568044651674,true,26.24438643756498,0.8483189940452576
2506,GNSS_AIDED,7.768,808,3.5112975,0.0,0.0,7.802075496310637,0.837752985192789,true,12.32895549979244,2.34242844581604
2605,GNSS_AIDED,7.768,808,3.5112975,0.0,0.0,10.539516529282512,0.7067295784370256,true,17.9620494609547,1.9300487041473389
2705,GNSS_AIDED,7.768,808,3.5112975,0.0,0.0,7.455262880783913,0.8996532743262534,true,5.950086206444939,1.0707956552505493
2808,GNSS_AIDED,7.768,1010,3.5112975,0.0,0.0,7.3920415574488665,0.6711539364203757,true,17.720153480010765,1.858586072921753
2904,GNSS_AIDED,7.768,1010,3.5112975,0.0,0.0,7.519531775803464,1.3645330781591438,true,11.895980243234964,2.8823165893554688
